,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
hello,,Hello,Hola,Moi,Hallo,こんにちは,Olá ,Bonjour,Ciao,안녕하세요,Merhaba,Cześć,,,,,,,,,,,,,,,
inventory,,Inventory,Inventario,Varasto,Inventar,在庫について,Inventário ,Inventaire,Inventario,인벤토리,Envanter,Ekwipunek,,,,,,,,,,,,,,,
housing,,Housing,Alojamiento,Asuminen,Wohnort,ハウジング,Casa,Logement,Casa del Clan,주택,Barınak,Zakwaterownie,,,,,,,,,,,,,,,
guild,,Clan,Clan,Klaani,Clan,クラン,Clã,Clan,Clan,클랜,Klan,Klan,,,,,,,,,,,,,,,
clan,,Clan,Clan,Klaani,Clan,クラン,Clã ,Clan,Clan,클랜,Klan,Klan,,,,,,,,,,,,,,,
local_market,,Local market,Mercado local,Lähikaupat,lokaler Markt,ローカルマーケット,Mercado local,Marché local,Mercato locale,지역 시장,Yerel Market,Lokalny Rynek,,,,,,,,,,,,,,,
leaderboards,,Leaderboards,Clasificación,Tilastot,Bestenliste,リーダーボード,Tabelas de classificação,Classements,Classifiche,순위표,Liderlik Sıralaması,Tablice wyników,,,,,,,,,,,,,,,
woodcutting,,Woodcutting,Tala de madera,Puunhakkuu,Baumfällen,薪割り,Corte de lenha,Coupe de bois,Taglialegna,벌목,Odunculuk,Ścinanie drzew,,,,,,,,,,,,,,,
fishing,,Fishing,Pesca,Kalastus,Angeln,釣り,Pesca,Pêche,Pesca,낚시,Balıkçılık,Wędkarstwo,,,,,,,,,,,,,,,
foraging,,Foraging,Forrajeo,Ruoankeräily,Sammeln,採集,Coleta,Cueillette,Raccolta ,채집,Toplayıcılık,Zbieractwo,,,,,,,,,,,,,,,
mining,,Mining,Minería,Louhinta,Bergbau,採掘,Mineração ,Exploitation minière,Minare,채광,Madencilik,Górnictwo,,,,,,,,,,,,,,,
cooking,,Cooking,Cocina,Ruoanlaitto,Kochen,料理,Culinária,Cuisine,Cucina,요리,Yemek Pişirme,Gotowanie,,,,,,,,,,,,,,,
crafting,,Crafting,Artesanía,Käsityötaito,Handwerken,クラフト,Artesanato,Artisanat,Artigianato,제작,Zanaatkarlık,Rzemiosło,,,,,,,,,,,,,,,
game_title,,Idle Clans,Idle Clans,Idle Clans,Idle Clans,Idle Clans,Idle Clans,Idle Clans,Idle Clans,Idle Clans,Idle Clans,Idle Clans,,,,,,,,,,,,,,,
login,,Login,Iniciar sesión,Kirjaudu,Anmelden,ログイン,Login,Connexion,Accesso,로그인,Oturum Aç,Zaloguj się,,,,,,,,,,,,,,,
register,,Register,Registrarse,Rekisteröidy,Registrieren,クラン登録,Registrar,Créer votre compte,Registrazione,등록,Kayıt Ol,Zarejestruj się,,,,,,,,,,,,,,,
registration_failed,"{0} is filled in game code. In this instance, as the reason for a registration error can vary, we leave room for the game to fill in the blanks.",Registration failed: {0},Registro fallido: {0},Rekisteröityminen epäonnistui: {0},Registrierung Fehlgeschlagen: {0},登録に失敗しました： {0},Registro falhou: {0},Creation a échoué : {0},Registrazione fallita: {0},등록 실패: {0},Kaydolma Başarısız,Rejestracja nie powiodła się: {0},,,,,,,,,,,,,,,
